Site ID	Name	Principal Investigator	Data Use Policy	AmeriFlux BASE Data	AmeriFlux FLUXNET Data	Vegetation Abbreviation (IGBP)	Vegetation Description (IGBP)	Climate Class Abbreviation (Koeppen)	Climate Class Description (Koeppen)	Mean Average Precipitation (mm)	Mean Average Temperature (degrees C)	Country	Latitude (degrees)	Longitude (degrees)	Elevation (m)	Years of AmeriFlux BASE Data	AmeriFlux BASE DOI	Years of AmeriFlux FLUXNET Data	AmeriFlux FLUXNET DOI	Site Start	Site End	BASE variables available	FLUXNET variables available
"CA-TP2"	"Ontario - Turkey Point 1989 Plantation White Pine"	"M. Altaf Arain (arainm@mcmaster.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1036"	"8"	"Canada"	"42.7744"	"-80.4588"	"212"	"2002, 2003, 2004, 2005, 2006, 2007, 2008"	"https://doi.org/10.17190/AMF/1246010"	""	"https://doi.org/"	"2003"	"2008"	"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"CA-TP3"	"Ontario - Turkey Point 1974 Plantation White Pine"	"M. Altaf Arain (arainm@mcmaster.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1036"	"8"	"Canada"	"42.7068"	"-80.3483"	"184"	"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1246011"	"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1881566"	"2003"	""	"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"CA-TP4"	"Ontario - Turkey Point 1939 Plantation White Pine"	"M. Altaf Arain (arainm@mcmaster.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1036"	"8"	"Canada"	"42.7102"	"-80.3574"	"184"	"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1246012"	""	"https://doi.org/"	"2003"	""	"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD"	""
"CA-TPD"	"Ontario - Turkey Point Mature Deciduous"	"M. Altaf Arain (arainm@mcmaster.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1036"	"8"	"Canada"	"42.6353"	"-80.5577"	"260"	"2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1246152"	"2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1881567"	"2012"	""	"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"CA-TVC"	"Trail Valley Creek"	"Philip Marsh (pmarsh@wlu.ca)"	"CC-BY-4.0"	"Yes"	"No"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"240.6"	"-8.2"	"Canada"	"68.7462"	"-133.5017"	"85"	"2017"	"https://doi.org/10.17190/AMF/1767831"	""	"https://doi.org/"	"2013"	"2017"	"ALB, CO2, D_SNOW, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, P, PA, RECO, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, T_SONIC, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"CA-WP1"	"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen"	"Lawrence B. Flanagan (larry.flanagan@uleth.ca)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"461.07"	"1.1"	"Canada"	"54.9538"	"-112.4670"	"540"	"2003, 2004, 2005, 2006, 2007, 2008, 2009"	"https://doi.org/10.17190/AMF/1436323"	""	"https://doi.org/"	"2003"	""	"CO2, D_SNOW, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS, WTD"	""
"CA-WP2"	"Alberta - Western Peatland - Poor Fen (Sphagnum moss)"	"Lawrence B. Flanagan (larry.flanagan@uleth.ca)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	""	""	"Canada"	"55.5375"	"-112.3343"	""	"2004, 2005, 2006"	"https://doi.org/10.17190/AMF/1436324"	""	"https://doi.org/"	"2004"	"2004"	"CO2, D_SNOW, FC, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SW_IN, TA, TS, USTAR, WD, WS, WTD"	""
"CA-WP3"	"Alberta - Western Peatland - Rich Fen  (Carex)"	"Lawrence B. Flanagan (larry.flanagan@uleth.ca)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	""	""	"Canada"	"54.4700"	"-113.3200"	""	"2004, 2005, 2006"	"https://doi.org/10.17190/AMF/1436325"	""	"https://doi.org/"	"2004"	"2004"	"CO2, D_SNOW, FC, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SW_IN, TA, TS, USTAR, WD, WS, WTD"	""
"CL-ACF"	"Alerce Costero Forest"	"Antonio Lara (antoniolaraaguilar@gmail.com)"	"CC-BY-4.0"	"No"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"4500"	"7.3"	"Chile"	"-40.1726"	"-73.4439"	"822"	""	"https://doi.org/"	""	"https://doi.org/"	"2018"	""	""	""
"CL-SDF"	"Senda Darwin Forest"	"Juan J. Armesto (jarmesto@bio.puc.cl)"	"CC-BY-4.0"	"Yes"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"2110"	"10"	"Chile"	"-41.8830"	"-73.6760"	"50"	"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1902273"	""	"https://doi.org/"	"2014"	""	"CO2, CO2_MIXING_RATIO, FC, FETCH_70, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H2O_MIXING_RATIO, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, P_RAIN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL"	""
"CL-SDP"	"Senda Darwin Peatland"	"Juan J. Armesto (jarmesto@bio.puc.cl)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"2110"	"10"	"Chile"	"-41.8790"	"-73.6660"	"50"	"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1902274"	""	"https://doi.org/"	"2014"	""	"CO2, CO2_MIXING_RATIO, FC, FETCH_70, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H2O_MIXING_RATIO, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, P_RAIN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL"	""
"CO-GV1"	"Guatavita Station 1"	"Juan C. Benavides (jubenavides@javeriana.edu.co)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	""	""	""	""	"Colombia"	"4.9139"	"-73.7365"	"3001"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"CO-GV2"	"Guatavita Station 2"	"Juan C. Benavides (jubenavides@javeriana.edu.co)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	""	""	""	""	"Colombia"	"4.9168"	"-73.7429"	"3002"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"CR-Dos"	"La Selva T2"	"Ulli Seibt (useibt@ucla.edu)"	"Legacy"	"No"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Af"	"Tropical rain forest"	"4200"	"25.8"	"Costa Rica"	"10.4322"	"-84.0106"	"40"	""	"https://doi.org/"	""	"https://doi.org/"	"2022"	""	""	""
"CR-Fsc"	"Filadelfia sugar cane cropland"	"Mark Johnson (mark.johnson@ubc.ca)"	"Legacy"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Aw"	"Tropical savanna"	""	""	"Costa Rica"	"10.4189"	"-85.4732"	"18"	"2014, 2015, 2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1829504"	""	"https://doi.org/"	"2014"	""	"CO2, CO2_MIXING_RATIO, FC, FC_SSITC_TEST, G, GPP, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NEE, NETRAD, P, PA, P_RAIN, PRI, RECO, SC, SH, SLE, SWC, SW_IN, SW_OUT, SWP, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, USTAR, VPD, WD, WS, ZL"	""
"CR-Lse"	"La Selva"	"Hank Loescher (hloescher@neoninc.org)"	"Legacy"	"Yes"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Am"	"Tropical monsoon"	"3965.57"	"25.9"	"Costa Rica"	"10.4233"	"-84.0211"	"100"	"1997, 1998, 1999"	"https://doi.org/10.17190/AMF/1246013"	""	"https://doi.org/"	"1998"	""	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"CR-Nmr"	"Nicoya melon-rice cropland"	"Mark Johnson (mark.johnson@ubc.ca)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Aw"	"Tropical savanna"	""	""	"Costa Rica"	"10.0829"	"-85.4694"	"166"	""	"https://doi.org/"	""	"https://doi.org/"	"2014"	""	""	""
"CR-SoC"	"Soltis Center"	"Gretchen Miller (gmiller@civil.tamu.edu)"	"CC-BY-4.0"	"Yes"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Af"	"Tropical rain forest"	"4200"	"23.1"	"Costa Rica"	"10.3827"	"-84.6210"	"538"	"2014, 2015, 2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1880911"	""	"https://doi.org/"	"2014"	"2019"	"CO2, FC, FETCH_70, FETCH_90, G, H, H2O, LE, LEAF_WET, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX"	""
"MX-Aog"	"Alamos Old-Growth tropical dry forest"	"Enrico A. Yepez (enrico.yepez@itson.edu.mx)"	"CC-BY-4.0"	"Yes"	"No"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Bsh"	"Steppe: very cold winter"	"732"	"24.2"	"Mexico"	"26.9968"	"-108.7892"	"367.284"	"2015, 2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1756414"	""	"https://doi.org/"	"2016"	"2018"	"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, PA, PPFD_IN, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_SONIC, USTAR, VPD, WD, WS, WS_MAX, ZL"	""
"MX-Asf"	"Alamos Mid-Secondary tropical dry forest"	"Enrico A. Yepez (enrico.yepez@itson.edu.mx)"	"Legacy"	"No"	"No"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Bsh"	"Steppe: very cold winter"	"732"	"24.2"	"Mexico"	"27.0046"	"-108.7795"	"384"	""	"https://doi.org/"	""	"https://doi.org/"	"2015"	"2020"	""	""
"MX-BRN"	"Bernal"	"Aurelio Guevara-Escobar (guevara@uaq.mx)"	"Legacy"	"No"	"No"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Bsk"	"Steppe: warm winter"	"476"	"17.1"	"Mexico"	"20.7168"	"-99.9413"	"2050"	""	"https://doi.org/"	""	"https://doi.org/"	"2017"	"2018"	""	""
"MX-CLS"	"Coastal Lagoon, Gulf of California"	"Zulia M Sanchez-Mejia (zulia.sanchez@itson.edu.mx)"	"Legacy"	"No"	"No"	"WAT"	"Water Bodies : Oceans, seas, lakes, reservoirs, and rivers. Can be either fresh or salt- water bodies."	"Bwh"	"Desert: warm winter"	"260"	"23"	"Mexico"	"27.9541"	"-110.9726"	"0"	""	"https://doi.org/"	""	"https://doi.org/"	"2018"	""	""	""
"MX-EMg"	"El Mogor"	"Stephen H. Bullock (sbullock@cicese.mx)"	"Legacy"	"Yes"	"No"	"CSH"	"Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous."	"Bsh"	"Steppe: very cold winter"	"281"	"17"	"Mexico"	"32.0298"	"-116.6045"	"409"	"2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1717849"	""	"https://doi.org/"	"2008"	""	"CO2, FC, FETCH_70, FETCH_90, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, P_RAIN, RH, SWC, TA, TAU, TS, USTAR, VPD, WD, WS"	""
"MX-Iit"	"Instituto de Ingenieria y Tecnologia - UACJ"	"Felipe Adrian Vazquez-Galvez (fvazquez@uacj.mx)"	"Legacy"	"No"	"No"	"URB"	"Urban and Built-Up Lands: Land covered by buildings and other man-made structures."	"Bwk"	"Desert: very cold winter"	"457.2"	"27"	"Mexico"	"31.7434"	"-106.4316"	"1123"	""	"https://doi.org/"	""	"https://doi.org/"	"2020"	""	""	""
"MX-ISD"	"San Isidro"	"Dulce Flores-Renteria (yaahid.flores@cinvestav.edu.mx)"	"Legacy"	"No"	"No"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Bsh"	"Steppe: very cold winter"	"493"	"17.5"	"Mexico"	"25.3004"	"-101.3924"	"1702"	""	"https://doi.org/"	""	"https://doi.org/"	"2019"	"2020"	""	""
"MX-Lpa"	"La Paz"	"Walter Oechel (woechel@mail.sdsu.edu)"	"Legacy"	"Yes"	"No"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Bwh"	"Desert: warm winter"	"182"	"23.6"	"Mexico"	"24.1292"	"-110.4380"	"21"	"2004, 2005, 2006, 2007, 2008"	"https://doi.org/10.17190/AMF/1246014"	""	"https://doi.org/"	"2001"	""	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"MX-Oak"	"Encino, North American monsoon oak savanna"	"Julio C. Rodriguez (jcrod@guayacan.uson.mx)"	"Legacy"	"No"	"No"	"WSA"	"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters."	"Bsh"	"Steppe: very cold winter"	"496"	"18.9"	"Mexico"	"29.9591"	"-110.4615"	"1314"	""	"https://doi.org/"	""	"https://doi.org/"	"2008"	"2013"	""	""
"MX-PMm"	"Puerto Morelos mangrove"	"Susana Alvarado-Barrientos (susana.alvarado@gmail.com)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Aw"	"Tropical savanna"	"1222"	"26.2"	"Mexico"	"20.8462"	"-86.8992"	"10"	"2017, 2018"	"https://doi.org/10.17190/AMF/1756415"	""	"https://doi.org/"	"2017"	"2018"	"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL"	""
"MX-Ray"	"Rayon, monsoon subtropical shrubland"	"Julio C. Rodriguez (jcrod@guayacan.uson.mx)"	"Legacy"	"Yes"	"No"	"WSA"	"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters."	"Bsh"	"Steppe: very cold winter"	"487"	"21.4"	"Mexico"	"29.7446"	"-110.5306"	"632"	"2007, 2008, 2009, 2010, 2011, 2012"	"https://doi.org/10.17190/AMF/1829505"	""	"https://doi.org/"	"2008"	"2014"	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, PA, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, VPD, WD, WS"	""
"MX-Sgt"	"Sonoran short arid Mangrove"	"Julio C. Rodriguez (jcrod@guayacan.uson.mx)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Bwh"	"Desert: warm winter"	"126"	"20"	"Mexico"	"29.3408"	"-112.2796"	"0"	""	"https://doi.org/"	""	"https://doi.org/"	"2014"	"2016"	""	""
"MX-Tes"	"Tesopaco, secondary tropical dry forest"	"Jaime Garatuza (garatuza@itson.edu.mx)"	"CC-BY-4.0"	"Yes"	"Yes"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Bsh"	"Steppe: very cold winter"	"647"	"24.3"	"Mexico"	"27.8446"	"-109.2977"	"460"	"2004, 2005, 2006, 2007, 2008"	"https://doi.org/10.17190/AMF/1767832"	"2004, 2005, 2006, 2007, 2008, 2009"	"https://doi.org/10.17190/AMF/1832156"	"2004"	"2008"	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, PA, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, T_SONIC, USTAR, VPD, WD, WS"	""
"PA-Bar"	"Barro Colorado Island"	"Matteo Detto (teoparaglider@gmail.com)"	"CC-BY-4.0"	"No"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Af"	"Tropical rain forest"	"2800"	"26"	"Panama"	"9.1568"	"-79.8486"	"150"	""	"https://doi.org/"	""	"https://doi.org/"	"2012"	"2017"	""	""
"PA-Bas"	"Barro Colorado Island"	"Matteo Detto (teoparaglider@gmail.com)"	"CC-BY-4.0"	"No"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Af"	"Tropical rain forest"	"2800"	"26"	"Panama"	"9.1565"	"-79.8482"	"150"	""	"https://doi.org/"	""	"https://doi.org/"	"2019"	""	""	""
"PE-QFR"	"Quistococha Forest Reserve"	"Timothy Griffis (tgriffis@umn.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Af"	"Tropical rain forest"	""	""	"Peru"	"-3.8344"	"-73.3190"	"104"	"2018, 2019"	"https://doi.org/10.17190/AMF/1671889"	"2018, 2019"	"https://doi.org/10.17190/AMF/1832157"	"2018"	""	"CH4, CO2, FC, FCH4, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, RH, SC, SCH4, SH, SLE, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS"	""
"PE-TNR"	"Tambopata"	"Norma Salinas (nsalinasr@pucp.pe)"	"Legacy"	"No"	"No"	"MF"	"Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape."	"Af"	"Tropical rain forest"	"2335"	"25.5"	"Peru"	"-12.8314"	"-69.2836"	"214"	""	"https://doi.org/"	""	"https://doi.org/"	"2015"	""	""	""
"PR-xGU"	"NEON Guanica Forest (GUAN)"	"National Ecological Observatory Network (neon-ameriflux@battelleecology.org)"	"CC-BY-4.0"	"Yes"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Am"	"Tropical monsoon"	"1168"	"25"	"Puerto Rico"	"17.9696"	"-66.8687"	"143"	"2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1773393"	""	"https://doi.org/"	"2018"	""	"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX"	""
"PR-xLA"	"NEON Lajas Experimental Station (LAJA)"	"National Ecological Observatory Network (neon-ameriflux@battelleecology.org)"	"CC-BY-4.0"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Am"	"Tropical monsoon"	"1168"	"25"	"Puerto Rico"	"18.0212"	"-67.0769"	"24"	"2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1773394"	""	"https://doi.org/"	"2018"	""	"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX"	""
